county_fips,state_fips,cases,deaths
1001,1000,1928,28.0
1003,1000,6270,66.0
1005,1000,950,9.0
1007,1000,744,13.0
1009,1000,1750,23.0
1011,1000,628,16.0
1013,1000,977,40.0
1015,1000,3922,57.0
1017,1000,1256,43.0
1019,1000,687,14.0
1021,1000,1740,31.0
1023,1000,377,12.0
1025,1000,1229,16.0
1027,1000,667,11.0
1029,1000,483,6.0
1031,1000,1568,7.0
1033,1000,1840,27.0
1035,1000,549,12.0
1037,1000,190,3.0
1039,1000,1585,29.0
1041,1000,574,30.0
1043,1000,2132,21.0
1045,1000,1564,50.0
1047,1000,1837,26.0
1049,1000,2942,24.0
1051,1000,3009,51.0
1053,1000,1687,27.0
1055,1000,3869,46.0
1057,1000,520,10.0
1059,1000,1916,30.0
1061,1000,806,7.0
1063,1000,329,15.0
1065,1000,714,29.0
1067,1000,611,5.0
1069,1000,3537,25.0
1071,1000,1876,13.0
1073,1000,21746,362.0
1075,1000,426,3.0
1077,1000,1950,38.0
1079,1000,748,28.0
1081,1000,6346,64.0
1083,1000,2574,25.0
1085,1000,685,27.0
1087,1000,520,18.0
1089,1000,8678,83.0
1091,1000,910,21.0
1093,1000,1025,29.0
1095,1000,4182,46.0
1097,1000,14056,312.0
1099,1000,615,9.0
1101,1000,9399,194.0
1103,1000,3757,32.0
1105,1000,575,6.0
1107,1000,747,15.0
1109,1000,1284,12.0
1111,1000,761,13.0
1113,1000,1868,3.0
1115,1000,2647,41.0
1117,1000,6804,59.0
1119,1000,459,21.0
1121,1000,2454,33.0
1123,1000,1236,85.0
1125,1000,9651,128.0
1127,1000,2590,91.0
1129,1000,611,12.0
1131,1000,554,11.0
1133,1000,856,13.0
2013,2000,15,0.0
2016,2000,97,0.0
2020,2000,5877,41.0
2050,2000,194,1.0
2060,2000,76,0.0
2068,2000,17,0.0
2070,2000,33,0.0
2090,2000,1683,11.0
2100,2000,12,0.0
2110,2000,418,2.0
2122,2000,713,1.0
2130,2000,73,0.0
2150,2000,85,0.0
2158,2000,24,0.0
2164,2000,5,0.0
2170,2000,779,2.0
2180,2000,111,0.0
2185,2000,184,0.0
2188,2000,198,0.0
2195,2000,11,0.0
2198,2000,31,0.0
2220,2000,70,0.0
2240,2000,47,0.0
2261,2000,141,0.0
2275,2000,19,0.0
2290,2000,96,2.0
4001,4000,3734,166.0
4003,4000,2000,73.0
4005,4000,4563,145.0
4007,4000,1597,61.0
4009,4000,963,26.0
4011,4000,66,2.0
4012,4000,575,16.0
4013,4000,147551,3475.0
4015,4000,4121,228.0
4017,4000,5959,236.0
4019,4000,26632,633.0
4021,4000,11152,213.0
4023,4000,2921,64.0
4025,4000,2738,86.0
4027,4000,13088,348.0
5001,5000,569,11.0
5003,5000,484,12.0
5005,5000,475,5.0
5007,5000,7288,102.0
5009,5000,887,26.0
5011,5000,350,8.0
5013,5000,39,0.0
5015,5000,879,12.0
5017,5000,1018,22.0
5019,5000,429,5.0
5021,5000,384,11.0
5023,5000,395,14.0
5025,5000,196,12.0
5027,5000,619,19.0
5029,5000,314,3.0
5031,5000,3700,32.0
5033,5000,1758,22.0
5035,5000,2077,51.0
5037,5000,515,19.0
5039,5000,177,5.0
5041,5000,348,7.0
5043,5000,380,7.0
5045,5000,2963,27.0
5047,5000,418,2.0
5049,5000,229,8.0
5051,5000,2142,57.0
5053,5000,313,4.0
5055,5000,1122,15.0
5057,5000,469,5.0
5059,5000,2057,30.0
5061,5000,524,12.0
5063,5000,1311,26.0
5065,5000,352,1.0
5067,5000,548,5.0
5069,5000,3802,95.0
5071,5000,917,9.0
5073,5000,139,3.0
5075,5000,613,13.0
5077,5000,1092,18.0
5079,5000,2150,17.0
5081,5000,400,29.0
5083,5000,508,2.0
5085,5000,1449,19.0
5087,5000,399,6.0
5089,5000,120,1.0
5091,5000,1048,13.0
5093,5000,1897,55.0
5095,5000,184,0.0
5097,5000,176,7.0
5099,5000,256,14.0
5101,5000,276,19.0
5103,5000,301,7.0
5105,5000,119,0.0
5107,5000,632,15.0
5109,5000,250,3.0
5111,5000,828,15.0
5113,5000,314,4.0
5115,5000,2419,36.0
5117,5000,181,4.0
5119,5000,10603,186.0
5121,5000,545,23.0
5123,5000,1626,8.0
5125,5000,2465,24.0
5127,5000,129,1.0
5129,5000,167,1.0
5131,5000,4330,81.0
5133,5000,1232,19.0
5135,5000,285,9.0
5137,5000,387,19.0
5139,5000,1024,47.0
5141,5000,190,3.0
5143,5000,10487,127.0
5145,5000,1155,32.0
5147,5000,74,0.0
5149,5000,1294,30.0
6001,6000,22346,442.0
6003,6000,3,0.0
6005,6000,305,16.0
6007,6000,2992,48.0
6009,6000,331,16.0
6011,6000,545,6.0
6013,6000,17783,231.0
6015,6000,170,1.0
6017,6000,1262,4.0
6019,6000,29579,424.0
6021,6000,629,3.0
6023,6000,534,8.0
6025,6000,12334,334.0
6027,6000,207,15.0
6029,6000,33145,406.0
6031,6000,8111,82.0
6033,6000,639,14.0
6035,6000,752,1.0
6037,6000,283750,6790.0
6039,6000,4796,71.0
6041,6000,6934,124.0
6043,6000,77,2.0
6045,6000,1055,21.0
6047,6000,9265,152.0
6049,6000,28,0.0
6051,6000,173,2.0
6053,6000,10827,81.0
6055,6000,1833,14.0
6057,6000,573,8.0
6059,6000,58021,1360.0
6061,6000,3845,51.0
6063,6000,51,0.0
6065,6000,62900,1264.0
6067,6000,24059,462.0
6069,6000,1388,13.0
6071,6000,58936,986.0
6073,6000,51089,840.0
6075,6000,11715,123.0
6077,6000,20828,477.0
6079,6000,3933,32.0
6081,6000,10622,155.0
6083,6000,9503,116.0
6085,6000,22741,364.0
6087,6000,2633,23.0
6089,6000,1606,25.0
6091,6000,6,0.0
6093,6000,182,0.0
6095,6000,6881,74.0
6097,6000,8558,128.0
6099,6000,17087,387.0
6101,6000,1785,12.0
6103,6000,717,8.0
6105,6000,20,0.0
6107,6000,17015,273.0
6109,6000,242,4.0
6111,6000,13645,158.0
6113,6000,2986,56.0
6115,6000,1239,10.0
8001,8000,10989,243.0
8003,8000,265,9.0
8005,8000,10723,390.0
8007,8000,58,0.0
8009,8000,19,0.0
8011,8000,11,0.0
8013,8000,4884,83.0
8014,8000,749,37.0
8015,8000,358,20.0
8017,8000,14,0.0
8019,8000,59,1.0
8021,8000,42,0.0
8023,8000,33,1.0
8025,8000,77,1.0
8027,8000,19,0.0
8029,8000,194,4.0
8031,8000,15103,449.0
8033,8000,3,0.0
8035,8000,3217,63.0
8037,8000,1325,10.0
8039,8000,175,3.0
8041,8000,7929,188.0
8043,8000,273,1.0
8045,8000,1022,5.0
8047,8000,20,0.0
8049,8000,116,1.0
8051,8000,297,7.0
8053,8000,3,0.0
8055,8000,27,2.0
8057,8000,9,0.0
8059,8000,6754,295.0
8061,8000,1,0.0
8063,8000,98,3.0
8065,8000,110,0.0
8067,8000,301,2.0
8069,8000,3217,55.0
8071,8000,28,0.0
8073,8000,24,0.0
8075,8000,1025,9.0
8077,8000,823,7.0
8079,8000,20,0.0
8081,8000,48,1.0
8083,8000,172,5.0
8085,8000,404,13.0
8087,8000,789,48.0
8089,8000,113,6.0
8091,8000,32,1.0
8093,8000,64,1.0
8095,8000,34,0.0
8097,8000,248,2.0
8099,8000,98,0.0
8101,8000,1406,38.0
8103,8000,25,0.0
8105,8000,109,2.0
8107,8000,171,8.0
8109,8000,116,2.0
8111,8000,6,0.0
8113,8000,97,0.0
8115,8000,16,1.0
8117,8000,525,4.0
8119,8000,184,4.0
8121,8000,74,0.0
8123,8000,5197,155.0
8125,8000,157,1.0
9001,9000,21128,1427.0
9003,9000,16010,1443.0
9005,9000,1956,142.0
9007,9000,1720,193.0
9009,9000,15263,1119.0
9011,9000,2918,129.0
9013,9000,1535,67.0
9015,9000,1183,17.0
10001,10000,3259,119.0
10003,10000,11787,329.0
10005,10000,7328,212.0
11001,11000,16132,638.0
12001,12000,9133,70.0
12003,12000,1642,16.0
12005,12000,6366,122.0
12007,12000,1187,11.0
12009,12000,10110,331.0
12011,12000,79876,1484.0
12013,12000,653,14.0
12015,12000,3287,150.0
12017,12000,2983,124.0
12019,12000,5556,111.0
12021,12000,13382,239.0
12023,12000,4034,68.0
12027,12000,1609,27.0
12029,12000,860,11.0
12031,12000,32311,494.0
12033,12000,12737,264.0
12035,12000,1892,33.0
12037,12000,676,4.0
12039,12000,2991,51.0
12041,12000,531,17.0
12043,12000,581,6.0
12045,12000,911,15.0
12047,12000,889,9.0
12049,12000,1479,11.0
12051,12000,2128,43.0
12053,12000,3324,149.0
12055,12000,2398,100.0
12057,12000,44652,720.0
12059,12000,803,10.0
12061,12000,3458,119.0
12063,12000,2986,83.0
12065,12000,603,9.0
12067,12000,1253,15.0
12069,12000,8012,211.0
12071,12000,21488,485.0
12073,12000,11412,93.0
12075,12000,1089,10.0
12077,12000,520,10.0
12079,12000,1047,24.0
12081,12000,12270,310.0
12083,12000,10258,330.0
12085,12000,5102,151.0
12086,12000,176270,3485.0
12087,12000,1979,24.0
12089,12000,2297,50.0
12091,12000,5490,125.0
12093,12000,1650,35.0
12095,12000,42571,522.0
12097,12000,13250,174.0
12099,12000,48335,1465.0
12101,12000,9989,219.0
12103,12000,23510,788.0
12105,12000,21354,563.0
12107,12000,2229,46.0
12109,12000,5814,77.0
12111,12000,8443,310.0
12113,12000,5616,84.0
12115,12000,8786,291.0
12117,12000,9524,231.0
12119,12000,2700,77.0
12121,12000,2861,75.0
12123,12000,1406,14.0
12125,12000,1041,25.0
12127,12000,11649,296.0
12129,12000,1209,11.0
12131,12000,2142,29.0
12133,12000,1124,24.0
13001,13000,1109,34.0
13003,13000,468,4.0
13005,13000,617,14.0
13007,13000,85,6.0
13009,13000,2219,62.0
13011,13000,527,8.0
13013,13000,2418,47.0
13015,13000,3219,91.0
13017,13000,837,29.0
13019,13000,471,12.0
13021,13000,6371,187.0
13023,13000,474,21.0
13025,13000,375,11.0
13027,13000,535,26.0
13029,13000,1229,13.0
13031,13000,2979,32.0
13033,13000,862,11.0
13035,13000,722,43.0
13037,13000,258,9.0
13039,13000,1363,16.0
13043,13000,507,23.0
13045,13000,3045,74.0
13047,13000,1304,19.0
13049,13000,645,9.0
13051,13000,8956,178.0
13053,13000,1707,1.0
13055,13000,851,26.0
13057,13000,6571,97.0
13059,13000,5435,46.0
13061,13000,122,3.0
13063,13000,7616,170.0
13065,13000,411,11.0
13067,13000,20838,442.0
13069,13000,2155,57.0
13071,13000,2011,37.0
13073,13000,4027,62.0
13075,13000,566,15.0
13077,13000,2783,58.0
13079,13000,185,6.0
13081,13000,610,19.0
13083,13000,310,5.0
13085,13000,867,9.0
13087,13000,1241,34.0
13089,13000,19857,383.0
13091,13000,492,13.0
13093,13000,351,14.0
13095,13000,3237,188.0
13097,13000,3877,71.0
13099,13000,520,33.0
13101,13000,244,2.0
13103,13000,1625,28.0
13105,13000,730,8.0
13107,13000,1142,35.0
13109,13000,449,6.0
13111,13000,759,28.0
13113,13000,1987,51.0
13115,13000,3500,49.0
13117,13000,4440,48.0
13119,13000,815,16.0
13121,13000,29329,597.0
13123,13000,935,16.0
13125,13000,40,2.0
13127,13000,3572,98.0
13129,13000,2042,39.0
13131,13000,833,23.0
13133,13000,547,24.0
13135,13000,29157,427.0
13137,13000,1802,73.0
13139,13000,10098,164.0
13141,13000,407,44.0
13143,13000,563,9.0
13145,13000,826,25.0
13147,13000,548,16.0
13149,13000,204,6.0
13151,13000,5723,106.0
13153,13000,3346,86.0
13155,13000,343,6.0
13157,13000,2181,39.0
13159,13000,239,3.0
13161,13000,754,22.0
13163,13000,827,31.0
13165,13000,457,31.0
13167,13000,434,22.0
13169,13000,614,13.0
13171,13000,390,19.0
13173,13000,309,7.0
13175,13000,1863,82.0
13177,13000,730,26.0
13179,13000,1172,24.0
13181,13000,220,7.0
13183,13000,267,4.0
13185,13000,4179,85.0
13187,13000,987,14.0
13189,13000,646,14.0
13191,13000,300,7.0
13193,13000,240,10.0
13195,13000,743,11.0
13197,13000,194,9.0
13199,13000,566,14.0
13201,13000,295,2.0
13205,13000,841,46.0
13207,13000,734,54.0
13209,13000,348,7.0
13211,13000,508,4.0
13213,13000,902,8.0
13215,13000,6230,173.0
13217,13000,2733,91.0
13219,13000,811,27.0
13221,13000,382,11.0
13223,13000,2979,59.0
13225,13000,714,24.0
13227,13000,663,9.0
13229,13000,636,23.0
13231,13000,368,11.0
13233,13000,1577,22.0
13235,13000,320,22.0
13237,13000,753,27.0
13239,13000,38,1.0
13241,13000,402,11.0
13243,13000,338,29.0
13245,13000,7571,173.0
13247,13000,1975,40.0
13249,13000,107,2.0
13251,13000,436,11.0
13253,13000,377,10.0
13255,13000,1442,62.0
13257,13000,1222,42.0
13259,13000,524,16.0
13261,13000,949,66.0
13263,13000,167,7.0
13265,13000,25,0.0
13267,13000,876,11.0
13269,13000,224,12.0
13271,13000,416,22.0
13273,13000,335,32.0
13275,13000,1551,68.0
13277,13000,1884,60.0
13279,13000,1423,54.0
13281,13000,397,10.0
13283,13000,283,11.0
13285,13000,2931,103.0
13287,13000,328,24.0
13289,13000,206,9.0
13291,13000,848,23.0
13293,13000,828,68.0
13295,13000,1702,42.0
13297,13000,1999,63.0
13299,13000,1615,61.0
13301,13000,163,5.0
13303,13000,713,11.0
13305,13000,1187,29.0
13307,13000,44,2.0
13309,13000,356,13.0
13311,13000,967,22.0
13313,13000,4942,63.0
13315,13000,251,25.0
13317,13000,272,6.0
13319,13000,356,18.0
13321,13000,578,32.0
15001,15000,985,15.0
15003,15000,12169,144.0
15007,15000,59,0.0
15009,15000,523,13.0
16001,16000,14559,156.0
16003,16000,30,2.0
16005,16000,1766,8.0
16007,16000,56,1.0
16009,16000,161,3.0
16011,16000,1316,12.0
16013,16000,778,6.0
16015,16000,74,2.0
16017,16000,413,0.0
16019,16000,3563,21.0
16021,16000,70,1.0
16023,16000,66,0.0
16025,16000,38,0.0
16027,16000,8879,104.0
16029,16000,188,2.0
16031,16000,993,8.0
16033,16000,40,0.0
16035,16000,112,0.0
16037,16000,78,1.0
16039,16000,428,4.0
16041,16000,255,1.0
16043,16000,311,3.0
16045,16000,363,4.0
16047,16000,390,1.0
16049,16000,267,0.0
16051,16000,790,3.0
16053,16000,898,7.0
16055,16000,3145,44.0
16057,16000,764,0.0
16059,16000,145,0.0
16061,16000,54,2.0
16063,16000,119,0.0
16065,16000,1724,2.0
16067,16000,920,8.0
16069,16000,561,24.0
16071,16000,37,0.0
16073,16000,359,5.0
16075,16000,1021,9.0
16077,16000,333,1.0
16079,16000,220,18.0
16081,16000,241,1.0
16083,16000,2988,42.0
16085,16000,105,1.0
16087,16000,409,7.0
17001,17000,1458,14.0
17003,17000,102,1.0
17005,17000,405,9.0
17007,17000,1491,24.0
17009,17000,82,0.0
17011,17000,799,15.0
17013,17000,66,0.0
17015,17000,293,6.0
17017,17000,435,11.0
17019,17000,5525,27.0
17021,17000,724,23.0
17023,17000,240,4.0
17025,17000,259,6.0
17027,17000,1452,23.0
17029,17000,1676,38.0
17031,17000,157573,5321.0
17033,17000,589,6.0
17035,17000,241,5.0
17037,17000,2010,42.0
17039,17000,209,3.0
17041,17000,420,8.0
17043,17000,19767,588.0
17045,17000,133,8.0
17047,17000,84,0.0
17049,17000,1014,3.0
17051,17000,574,15.0
17053,17000,159,7.0
17055,17000,711,6.0
17057,17000,321,0.0
17059,17000,94,2.0
17061,17000,250,15.0
17063,17000,808,7.0
17065,17000,97,2.0
17067,17000,259,3.0
17069,17000,47,0.0
17071,17000,93,0.0
17073,17000,764,5.0
17075,17000,431,19.0
17077,17000,1367,24.0
17079,17000,231,10.0
17081,17000,804,40.0
17083,17000,435,21.0
17085,17000,374,3.0
17087,17000,279,0.0
17089,17000,14558,336.0
17091,17000,3036,78.0
17093,17000,2346,27.0
17095,17000,937,8.0
17097,17000,18633,499.0
17099,17000,2041,58.0
17101,17000,293,6.0
17103,17000,525,1.0
17105,17000,489,9.0
17107,17000,518,4.0
17109,17000,577,15.0
17111,17000,5343,124.0
17113,17000,3746,29.0
17115,17000,2190,48.0
17117,17000,664,8.0
17119,17000,6499,150.0
17121,17000,774,8.0
17123,17000,129,3.0
17125,17000,215,1.0
17127,17000,133,2.0
17129,17000,152,1.0
17131,17000,191,6.0
17133,17000,810,27.0
17135,17000,496,13.0
17137,17000,779,25.0
17139,17000,295,4.0
17141,17000,968,6.0
17143,17000,4041,58.0
17145,17000,382,16.0
17147,17000,183,0.0
17149,17000,207,2.0
17151,17000,36,1.0
17153,17000,218,1.0
17155,17000,75,0.0
17157,17000,1075,14.0
17159,17000,296,11.0
17161,17000,3521,93.0
17163,17000,8147,207.0
17165,17000,457,6.0
17167,17000,3154,53.0
17169,17000,74,1.0
17171,17000,84,0.0
17173,17000,533,7.0
17175,17000,72,2.0
17177,17000,712,7.0
17179,17000,2227,44.0
17181,17000,683,25.0
17183,17000,1361,7.0
17185,17000,189,4.0
17187,17000,414,6.0
17189,17000,265,1.0
17191,17000,397,7.0
17193,17000,210,1.0
17195,17000,1055,21.0
17197,17000,15888,408.0
17199,17000,1601,56.0
17201,17000,8207,161.0
17203,17000,505,10.0
18001,18000,406,5.0
18003,18000,7354,223.0
18005,18000,1327,61.0
18007,18000,95,0.0
18009,18000,179,3.0
18011,18000,1150,51.0
18013,18000,123,3.0
18015,18000,300,13.0
18017,18000,2157,17.0
18019,18000,2658,64.0
18021,18000,385,6.0
18023,18000,758,18.0
18025,18000,134,2.0
18027,18000,769,33.0
18029,18000,819,30.0
18031,18000,510,42.0
18033,18000,623,12.0
18035,18000,2542,73.0
18037,18000,1229,21.0
18039,18000,7867,130.0
18041,18000,635,14.0
18043,18000,1637,68.0
18045,18000,230,2.0
18047,18000,345,26.0
18049,18000,297,2.0
18051,18000,765,9.0
18053,18000,1499,41.0
18055,18000,479,39.0
18057,18000,5635,121.0
18059,18000,1091,47.0
18061,18000,692,26.0
18063,18000,3041,145.0
18065,18000,1084,27.0
18067,18000,1515,69.0
18069,18000,350,5.0
18071,18000,968,11.0
18073,18000,474,4.0
18075,18000,258,4.0
18077,18000,315,4.0
18079,18000,348,15.0
18081,18000,2861,136.0
18083,18000,616,10.0
18085,18000,1565,21.0
18087,18000,737,14.0
18089,18000,12251,358.0
18091,18000,1932,50.0
18093,18000,667,33.0
18095,18000,2101,95.0
18097,18000,23785,827.0
18099,18000,1218,26.0
18101,18000,186,0.0
18103,18000,516,4.0
18105,18000,3072,42.0
18107,18000,542,23.0
18109,18000,866,43.0
18111,18000,192,12.0
18113,18000,1039,34.0
18115,18000,94,7.0
18117,18000,352,26.0
18119,18000,185,2.0
18121,18000,195,2.0
18123,18000,270,14.0
18125,18000,292,8.0
18127,18000,2709,49.0
18129,18000,621,3.0
18131,18000,127,1.0
18133,18000,678,15.0
18135,18000,330,8.0
18137,18000,383,8.0
18139,18000,221,4.0
18141,18000,8211,154.0
18143,18000,488,14.0
18145,18000,1241,37.0
18147,18000,347,6.0
18149,18000,356,8.0
18151,18000,541,9.0
18153,18000,391,12.0
18155,18000,78,0.0
18157,18000,3247,14.0
18159,18000,261,26.0
18161,18000,115,0.0
18163,18000,5126,46.0
18165,18000,176,1.0
18167,18000,2292,32.0
18169,18000,335,9.0
18171,18000,61,1.0
18173,18000,1765,60.0
18175,18000,317,2.0
18177,18000,1400,18.0
18179,18000,367,5.0
18181,18000,530,15.0
18183,18000,379,6.0
19001,19000,106,1.0
19003,19000,56,0.0
19005,19000,299,8.0
19007,19000,188,3.0
19009,19000,121,1.0
19011,19000,441,1.0
19013,19000,4979,96.0
19015,19000,628,8.0
19017,19000,576,7.0
19019,19000,361,3.0
19021,19000,2161,12.0
19023,19000,325,2.0
19025,19000,244,3.0
19027,19000,946,7.0
19029,19000,247,2.0
19031,19000,317,5.0
19033,19000,1195,23.0
19035,19000,344,2.0
19037,19000,312,1.0
19039,19000,296,3.0
19041,19000,446,4.0
19043,19000,324,3.0
19045,19000,1297,25.0
19047,19000,1262,11.0
19049,19000,3163,41.0
19051,19000,146,4.0
19053,19000,109,0.0
19055,19000,614,8.0
19057,19000,1049,9.0
19059,19000,650,7.0
19061,19000,4314,50.0
19063,19000,359,13.0
19065,19000,305,2.0
19067,19000,398,11.0
19069,19000,363,18.0
19071,19000,168,0.0
19073,19000,157,0.0
19075,19000,260,4.0
19077,19000,347,14.0
19079,19000,410,3.0
19081,19000,253,4.0
19083,19000,389,4.0
19085,19000,500,6.0
19087,19000,927,5.0
19089,19000,222,8.0
19091,19000,263,3.0
19093,19000,170,2.0
19095,19000,348,2.0
19097,19000,466,3.0
19099,19000,983,35.0
19101,19000,177,1.0
19103,19000,5517,30.0
19105,19000,366,3.0
19107,19000,134,1.0
19109,19000,393,0.0
19111,19000,792,9.0
19113,19000,4775,122.0
19115,19000,473,15.0
19117,19000,174,6.0
19119,19000,484,5.0
19121,19000,318,2.0
19123,19000,548,21.0
19125,19000,882,10.0
19127,19000,1882,36.0
19129,19000,295,1.0
19131,19000,211,0.0
19133,19000,208,1.0
19135,19000,220,11.0
19137,19000,138,5.0
19139,19000,1244,57.0
19141,19000,532,9.0
19143,19000,227,0.0
19145,19000,301,0.0
19147,19000,267,1.0
19149,19000,1433,24.0
19151,19000,195,2.0
19153,19000,17361,277.0
19155,19000,2717,43.0
19157,19000,396,11.0
19159,19000,76,2.0
19161,19000,338,2.0
19163,19000,3706,32.0
19165,19000,320,1.0
19167,19000,2183,10.0
19169,19000,3752,17.0
19171,19000,868,35.0
19173,19000,204,1.0
19175,19000,193,3.0
19177,19000,143,2.0
19179,19000,1444,60.0
19181,19000,1082,6.0
19183,19000,575,11.0
19185,19000,109,3.0
19187,19000,1599,14.0
19189,19000,375,16.0
19191,19000,399,9.0
19193,19000,6480,81.0
19195,19000,120,0.0
19197,19000,670,1.0
20001,20000,104,1.0
20003,20000,113,0.0
20005,20000,437,4.0
20007,20000,31,0.0
20009,20000,639,7.0
20011,20000,264,3.0
20013,20000,182,5.0
20015,20000,1227,4.0
20017,20000,87,1.0
20019,20000,24,0.0
20021,20000,593,8.0
20023,20000,90,3.0
20025,20000,60,1.0
20027,20000,68,2.0
20029,20000,96,1.0
20031,20000,139,9.0
20033,20000,19,0.0
20035,20000,464,9.0
20037,20000,1294,8.0
20039,20000,44,1.0
20041,20000,261,2.0
20043,20000,157,0.0
20045,20000,2660,14.0
20047,20000,60,0.0
20049,20000,13,0.0
20051,20000,1235,14.0
20053,20000,133,0.0
20055,20000,2469,14.0
20057,20000,3203,10.0
20059,20000,472,3.0
20061,20000,492,4.0
20063,20000,75,0.0
20065,20000,50,1.0
20067,20000,371,8.0
20069,20000,157,0.0
20071,20000,23,0.0
20073,20000,67,0.0
20075,20000,52,0.0
20077,20000,126,2.0
20079,20000,465,8.0
20081,20000,154,1.0
20083,20000,30,0.0
20085,20000,279,3.0
20087,20000,238,4.0
20089,20000,20,1.0
20091,20000,13167,171.0
20093,20000,123,3.0
20095,20000,114,3.0
20097,20000,42,0.0
20099,20000,316,5.0
20101,20000,17,1.0
20103,20000,2449,15.0
20105,20000,16,0.0
20107,20000,101,0.0
20109,20000,60,0.0
20111,20000,1154,37.0
20113,20000,303,3.0
20115,20000,134,1.0
20117,20000,61,0.0
20119,20000,156,1.0
20121,20000,480,1.0
20123,20000,55,0.0
20125,20000,582,6.0
20127,20000,50,0.0
20129,20000,31,2.0
20131,20000,217,1.0
20133,20000,201,0.0
20135,20000,112,7.0
20137,20000,188,0.0
20139,20000,135,0.0
20141,20000,20,0.0
20143,20000,97,0.0
20145,20000,409,1.0
20147,20000,150,9.0
20149,20000,335,0.0
20151,20000,94,0.0
20153,20000,104,0.0
20155,20000,1564,8.0
20157,20000,63,1.0
20159,20000,106,1.0
20161,20000,2003,9.0
20163,20000,130,7.0
20165,20000,90,0.0
20167,20000,141,3.0
20169,20000,929,12.0
20171,20000,172,1.0
20173,20000,10298,107.0
20175,20000,1857,7.0
20177,20000,3180,62.0
20179,20000,95,0.0
20181,20000,130,0.0
20183,20000,19,0.0
20185,20000,69,1.0
20187,20000,79,2.0
20189,20000,188,1.0
20191,20000,234,3.0
20193,20000,227,0.0
20195,20000,69,3.0
20197,20000,77,1.0
20199,20000,23,0.0
20201,20000,26,0.0
20203,20000,13,0.0
20205,20000,93,2.0
20207,20000,26,0.0
20209,20000,7810,134.0
21001,21000,423,20.0
21003,21000,448,10.0
21005,21000,207,1.0
21007,21000,60,1.0
21009,21000,879,13.0
21011,21000,98,1.0
21013,21000,577,16.0
21015,21000,1831,25.0
21017,21000,258,1.0
21019,21000,559,15.0
21021,21000,367,0.0
21023,21000,45,0.0
21025,21000,105,0.0
21027,21000,162,2.0
21029,21000,1124,13.0
21031,21000,389,16.0
21033,21000,218,0.0
21035,21000,799,9.0
21037,21000,1018,19.0
21039,21000,90,1.0
21041,21000,206,5.0
21043,21000,277,4.0
21045,21000,287,16.0
21047,21000,1618,26.0
21049,21000,409,10.0
21051,21000,389,6.0
21053,21000,178,3.0
21055,21000,137,1.0
21057,21000,116,0.0
21059,21000,1730,24.0
21061,21000,171,12.0
21063,21000,61,0.0
21065,21000,232,0.0
21067,21000,9518,84.0
21069,21000,104,0.0
21071,21000,245,4.0
21073,21000,768,13.0
21075,21000,205,3.0
21077,21000,110,8.0
21079,21000,214,3.0
21081,21000,209,6.0
21083,21000,831,29.0
21085,21000,438,15.0
21087,21000,306,9.0
21089,21000,523,5.0
21091,21000,110,1.0
21093,21000,1599,15.0
21095,21000,532,13.0
21097,21000,229,1.0
21099,21000,239,1.0
21101,21000,1126,22.0
21103,21000,221,2.0
21105,21000,95,1.0
21107,21000,870,41.0
21109,21000,406,17.0
21111,21000,20044,339.0
21113,21000,784,1.0
21115,21000,206,2.0
21117,21000,2287,49.0
21119,21000,263,1.0
21121,21000,680,9.0
21123,21000,248,1.0
21125,21000,1175,7.0
21127,21000,108,0.0
21129,21000,27,0.0
21131,21000,108,0.0
